timestep,P_norm,Q_norm
0.08333333333333333,0.40597693114295696,0.08421052631578946
0.16666666666666666,0.4023068857042991,0.07982456140350877
0.25,0.40125830129325407,0.07543859649122807
0.3333333333333333,0.4026564138413142,0.07105263157894737
0.41666666666666663,0.406675987416987,0.06491228070175438
0.5,0.41261796574624254,0.059649122807017535
0.5833333333333333,0.41890947221251307,0.05350877192982456
0.6666666666666666,0.4252009786787836,0.04736842105263158
0.75,0.4306186648025166,0.04298245614035087
0.8333333333333333,0.43096819293953165,0.04649122807017544
